clip_id,source_file,start_sec,end_sec,duration_sec
clip_0091,Carlos_Sainz_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,40.352,44.736,4.384
clip_0092,Carlos_Sainz_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,50.208,70.208,20.0
clip_0093,Carlos_Sainz_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,70.208,90.208,20.0
clip_0094,Carlos_Sainz_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,90.208,110.208,20.0
clip_0095,Carlos_Sainz_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,110.208,130.208,20.0
clip_0096,Carlos_Sainz_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,130.208,150.208,20.0
clip_0097,Carlos_Sainz_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,150.208,170.208,20.0
clip_0098,Carlos_Sainz_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,170.208,190.208,20.0
clip_0099,Carlos_Sainz_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,190.208,210.208,20.0
clip_0100,Carlos_Sainz_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,210.208,230.208,20.0
clip_0101,Carlos_Sainz_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,230.208,250.208,20.0
clip_0102,Carlos_Sainz_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,250.208,270.208,20.0
clip_0103,Carlos_Sainz_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,270.208,290.208,20.0
clip_0104,Carlos_Sainz_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,290.208,310.208,20.0
clip_0105,Carlos_Sainz_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,310.208,330.208,20.0
clip_0106,Carlos_Sainz_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,330.208,350.208,20.0
clip_0107,Carlos_Sainz_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,350.208,370.208,20.0
clip_0108,Carlos_Sainz_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,370.208,390.208,20.0
clip_0109,Carlos_Sainz_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,390.208,410.208,20.0
clip_0110,Carlos_Sainz_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,410.208,430.208,20.0
clip_0111,Carlos_Sainz_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,430.208,450.208,20.0
clip_0112,Carlos_Sainz_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,450.208,470.208,20.0
clip_0113,Carlos_Sainz_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,470.208,490.208,20.0
clip_0114,Carlos_Sainz_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,490.208,510.208,20.0
clip_0115,Carlos_Sainz_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,510.208,530.208,20.0
clip_0116,Carlos_Sainz_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,530.208,550.208,20.0
clip_0117,Carlos_Sainz_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,550.208,570.208,20.0
clip_0118,Carlos_Sainz_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,570.208,590.208,20.0
clip_0119,Carlos_Sainz_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,590.208,610.208,20.0
clip_0120,Carlos_Sainz_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,610.208,630.208,20.0
clip_0121,Carlos_Sainz_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,630.208,650.208,20.0
clip_0122,Carlos_Sainz_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,650.208,667.52,17.312
clip_0123,Carlos_Sainz_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,671.552,685.216,13.664
clip_0124,Carlos_Sainz_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,686.272,706.144,19.872
clip_0125,Carlos_Sainz_Full_Race_Team_Radio___2026_Chinese_Grand_Prix.wav,6.56,15.488,8.928
clip_0126,Carlos_Sainz_Full_Race_Team_Radio___2026_Chinese_Grand_Prix.wav,16.544,23.712,7.168
clip_0127,Carlos_Sainz_Full_Race_Team_Radio___2026_Chinese_Grand_Prix.wav,25.12,27.328,2.208
clip_0128,Carlos_Sainz_Full_Race_Team_Radio___2026_Chinese_Grand_Prix.wav,28.928,31.968,3.04
clip_0129,Carlos_Sainz_Full_Race_Team_Radio___2026_Chinese_Grand_Prix.wav,32.8,36.128,3.328
clip_0130,Carlos_Sainz_Full_Race_Team_Radio___2026_Chinese_Grand_Prix.wav,36.992,44.288,7.296
clip_0131,Carlos_Sainz_Full_Race_Team_Radio___2026_Chinese_Grand_Prix.wav,45.984,51.328,5.344
clip_0132,Carlos_Sainz_Full_Race_Team_Radio___2026_Chinese_Grand_Prix.wav,52.288,57.024,4.736
clip_0133,Carlos_Sainz_Full_Race_Team_Radio___2026_Chinese_Grand_Prix.wav,63.264,83.264,20.0
clip_0134,Carlos_Sainz_Full_Race_Team_Radio___2026_Chinese_Grand_Prix.wav,83.264,103.264,20.0
clip_0135,Carlos_Sainz_Full_Race_Team_Radio___2026_Chinese_Grand_Prix.wav,103.264,123.264,20.0
clip_0136,Carlos_Sainz_Full_Race_Team_Radio___2026_Chinese_Grand_Prix.wav,123.264,143.264,20.0
clip_0137,Carlos_Sainz_Full_Race_Team_Radio___2026_Chinese_Grand_Prix.wav,143.264,163.264,20.0
clip_0138,Carlos_Sainz_Full_Race_Team_Radio___2026_Chinese_Grand_Prix.wav,163.264,183.264,20.0
clip_0139,Carlos_Sainz_Full_Race_Team_Radio___2026_Chinese_Grand_Prix.wav,183.264,203.264,20.0
clip_0140,Carlos_Sainz_Full_Race_Team_Radio___2026_Chinese_Grand_Prix.wav,203.264,223.264,20.0
clip_0141,Carlos_Sainz_Full_Race_Team_Radio___2026_Chinese_Grand_Prix.wav,223.264,243.264,20.0
clip_0142,Carlos_Sainz_Full_Race_Team_Radio___2026_Chinese_Grand_Prix.wav,243.264,263.264,20.0
clip_0143,Carlos_Sainz_Full_Race_Team_Radio___2026_Chinese_Grand_Prix.wav,263.264,283.264,20.0
clip_0144,Carlos_Sainz_Full_Race_Team_Radio___2026_Chinese_Grand_Prix.wav,283.264,303.264,20.0
clip_0145,Carlos_Sainz_Full_Race_Team_Radio___2026_Chinese_Grand_Prix.wav,303.264,323.264,20.0
clip_0146,Carlos_Sainz_Full_Race_Team_Radio___2026_Chinese_Grand_Prix.wav,323.264,343.264,20.0
clip_0147,Carlos_Sainz_Full_Race_Team_Radio___2026_Chinese_Grand_Prix.wav,343.264,363.264,20.0
clip_0148,Carlos_Sainz_Full_Race_Team_Radio___2026_Chinese_Grand_Prix.wav,363.264,383.264,20.0
clip_0149,Carlos_Sainz_Full_Race_Team_Radio___2026_Chinese_Grand_Prix.wav,383.264,403.264,20.0
clip_0150,Carlos_Sainz_Full_Race_Team_Radio___2026_Chinese_Grand_Prix.wav,403.264,423.264,20.0
